"number","name","state","totalpoints","prerating","opponent"
"1","GARY HUA","ON",6,"1794",1605.28571428571
"2","DAKSHESH DARURI","MI",6,"1553",1554.14285714286
"3","ADITYA BAJAJ","MI",6,"1384",1467.57142857143
"4","PATRICK H SCHILLING","MI",5.5,"1716",1506.16666666667
"5","HANSHI ZUO","MI",5.5,"1655",1497.85714285714
"6","HANSEN SONG","OH",5,"1686",1515
"7","GARY DEE SWATHELL","MI",5,"1649",1483.85714285714
"8","EZEKIEL HOUGHTON","MI",5,"1641",1385.8
"9","STEFANO LEE","ON",5,"1411",1298.85714285714
"10","ANVIT RAO","MI",5,"1365",1480
"11","CAMERON WILLIAM MC LEMAN","MI",4.5,"1712",1426.28571428571
"12","KENNETH J TACK","MI",4.5,"1663",1469.28571428571
"13","TORRANCE HENRY JR","MI",4.5,"1666",1211.14285714286
"14","BRADLEY SHAW","MI",4.5,"1610",1470.42857142857
"15","ZACHARY JAMES HOUGHTON","MI",4.5,"1220",1300.33333333333
"16","MIKE NIKITIN","MI",4,"1604",1160.42857142857
"17","RONALD GRZEGORCZYK","MI",4,"1629",1357
"18","DAVID SUNDEEN","MI",4,"1600",1363.28571428571
"19","DIPANKAR ROY","MI",4,"1564",1506.85714285714
"20","JASON ZHENG","MI",4,"1595",1159.33333333333
"21","DINH DANG BUI","ON",4,"1563",1522.14285714286
"22","EUGENE L MCCLURE","MI",4,"1555",1313.5
"23","ALAN BUI","ON",4,"1363",1563.57142857143
"24","MICHAEL R ALDRICH","MI",4,"1229",1144.14285714286
"25","LOREN SCHWIEBERT","MI",3.5,"1745",1259.85714285714
"26","MAX ZHU","ON",3.5,"1579",1378.71428571429
"27","GAURAV GIDWANI","MI",3.5,"1552",1276.85714285714
"28","SOFIA ADINA STANESCU-BELLU","MI",3.5,"1507",1147.28571428571
"29","CHIEDOZIE OKORIE","MI",3.5,"6",1096.28571428571
"30","GEORGE AVERY JONES","ON",3.5,"1522",1388.16666666667
"31","RISHI SHETTY","MI",3.5,"1494",1384.8
"32","JOSHUA PHILIP MATHEWS","ON",3.5,"1441",1273.16666666667
"33","JADE GE","MI",3.5,"1449",1429.57142857143
"34","MICHAEL JEFFERY THOMAS","MI",3.5,"1399",1573.57142857143
"35","JOSHUA DAVID LEE","MI",3.5,"1438",1390.57142857143
"36","SIDDHARTH JHA","MI",3.5,"1355",1248.5
"37","AMIYATOSH PWNANANDAM","MI",3.5,"980",1149.85714285714
"38","BRIAN LIU","MI",3,"1423",1053.14285714286
"39","JOEL R HENDON","MI",3,"1436",1327
"40","FOREST ZHANG","MI",3,"1348",1152
"41","KYLE WILLIAM MURPHY","MI",3,"5",1357.71428571429
"42","JARED GE","MI",3,"1332",1392
"43","ROBERT GLEN VASEY","MI",3,"1283",1036.6
"44","JUSTIN D SCHILLING","MI",3,"1199",1285.8
"45","DEREK YAN","MI",3,"1242",1500.85714285714
"46","JACOB ALEXANDER LAVALLEY","MI",3,"3",967.666666666667
"47","ERIC WRIGHT","MI",2.5,"1362",1356.14285714286
"48","DANIEL KHAIN","MI",2.5,"1382",1266.57142857143
"49","MICHAEL J MARTIN","MI",2.5,"1291",1345.33333333333
"50","SHIVAM JHA","MI",2.5,"1056",1206.16666666667
"51","TEJAS AYYAGARI","MI",2.5,"1011",1406
"52","ETHAN GUO","MI",2.5,"935",1414.4
"53","JOSE C YBARRA","MI",2,"1393",1363
"54","LARRY HODGE","MI",2,"1270",1158
"55","ALEX KONG","MI",2,"1186",1086
"56","MARISA RICCI","MI",2,"1153",1290.71428571429
"57","MICHAEL LU","MI",2,"1092",1330.2
"58","VIRAJ MOHILE","MI",2,"917",1327.28571428571
"59","SEAN M MC CORMICK","MI",2,"853",1186
"60","JULIA SHEN","MI",1.5,"967",1350.2
"61","JEZZEL FARKAS","ON",1.5,"955",1209.57142857143
"62","ASHWIN BALAJI","MI",1,"1530",1318.71428571429
"63","THOMAS JOSEPH HOSMER","MI",1,"1175",1468.42857142857
"64","BEN LI","MI",1,"1163",1523.14285714286
